kepid,koi_disposition,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2
5858519,FALSE POSITIVE,285.10342,41.112469,0,1,0,0,4.18236124,1.979e-06,-1.979e-06,134.053289,0.000588,-0.000588,0.809,0.012,-0.016,6.70175,0.00298,-0.00298,193980,87,-87,69.37,21.77,-11.72,1303,NA,NA,680.56,651.21,-279.32,6188,197,-240,4.314,0.132,-0.198,1.166,0.366,-0.197
5859725,CANDIDATE,285.68912,41.18961,0,0,0,0,18.9828305,0.0003926,-0.0003926,139.257,0.0155,-0.0155,0.021,0.436,-0.021,6.303,0.432,-0.432,49.1,6.1,-6.1,0.72,0.11,-0.05,707,NA,NA,59.15,24.08,-10.29,5962,71,-88,4.443,0.04,-0.12,1.035,0.164,-0.066
5905728,FALSE POSITIVE,299.14111,41.185001,0,0,1,0,7.87173698,8.992e-05,-8.992e-05,132.35405,0.00908,-0.00908,0.001,0.453,-0.001,2.619,0.334,-0.334,34.7,3.6,-3.6,0.54,0.12,-0.08,862,NA,NA,130.96,85.27,-48.71,5428,147,-147,4.404,0.145,-0.145,0.94,0.205,-0.153
6719052,FALSE POSITIVE,298.45322,42.1101,1,0,0,0,357.437578,0.009596,-0.009596,195.2194,0.0201,-0.0201,0.1427,0.3394,-0.1426,15.903,0.575,-0.575,272.3,21.2,-21.2,3.13,2.09,-0.4,422,NA,NA,7.53,16.02,-2.69,7610,231,-303,4.127,0.079,-0.382,1.862,1.24,-0.243
6721603,CANDIDATE,298.95654,42.156315,0,0,0,0,215.634356,0.009791,-0.009791,230.7211,0.0404,-0.0404,0.002,0.456,-0.002,15.097,0.922,-0.922,148,13.9,-13.9,1.92,0.47,-0.71,404,NA,NA,6.28,4.95,-4.13,6163,219,-219,4.06,0.35,-0.15,1.568,0.388,-0.582
6756369,CANDIDATE,283.97293,42.276588,0,0,0,0,30.928898,0.0003253,-0.0003253,153.90647,0.00782,-0.00782,0.7846,0.1712,-0.5434,3.436,0.289,-0.289,203.3,26.1,-26.1,8.1,0.74,-1.71,1051,NA,NA,288.95,82.49,-129.97,5029,97,-151,3.237,0.03,-0.03,5.127,0.468,-1.085
6765563,CANDIDATE,287.90686,42.208721,0,0,0,0,293.392635,0.004655,-0.004655,341.2263,0.0129,-0.0129,0.1322,0.3397,-0.1322,3.661,0.264,-0.264,518.8,55.7,-55.7,6.84,3.92,-1.49,428,NA,NA,7.93,13.47,-3.57,5203,116,-133,3.489,0.182,-0.337,3.055,1.748,-0.668
6766583,FALSE POSITIVE,288.30215,42.237282,1,0,0,0,63.024229,0.002915,-0.002915,188.2057,0.0424,-0.0424,0.0223,0.4663,-0.0223,5.77,1,-1,294.6,60,-60,1.5,0.65,-0.1,424,NA,NA,7.66,9.89,-1.78,5691,168,-167,4.544,0.024,-0.308,0.887,0.38,-0.062
6767337,FALSE POSITIVE,288.57758,42.296021,0,0,0,0,506.771836,0.009906,-0.009906,158.7498,0.0138,-0.0138,0.1643,0.2896,-0.1642,10.535,0.552,-0.552,195.2,17.4,-17.4,1.8,0.64,-0.43,275,NA,NA,1.35,1.41,-0.65,6035,157,-161,4.177,0.242,-0.215,1.283,0.459,-0.309
6776555,CANDIDATE,291.55667,42.214169,0,0,0,0,5.43361347,6.392e-05,-6.392e-05,136.711,0.0151,-0.0151,0.234,0.224,-0.234,1.0338,0.0801,-0.0801,1421,101,-101,2.09,0.12,-0.28,548,NA,NA,21.27,5.72,-7.72,3694,117,-147,4.686,0.075,-0.02,0.566,0.033,-0.076
